director,popularity,stars,title,writers,year
Henri-Georges Clouzot,,"Yves Montand,Charles Vanel,Peter van Eyck,See full cast & crew","The Wages of Fear ,            ","Georges Arnaud,Henri-Georges Clouzot,1 more credit",1953
Stanley Kubrick,,"Ryan O'Neal,Marisa Berenson,Patrick Magee,See full cast & crew","Barry Lyndon ,            ","Stanley Kubrick,William Makepeace Thackeray",1975
Stuart Rosenberg,,"Paul Newman,George Kennedy,Strother Martin,See full cast & crew","Cool Hand Luke ,            ","Donn Pearce,Frank Pierson,1 more credit",1967
George Miller,,"Tom Hardy,Charlize Theron,Nicholas Hoult,See full cast & crew","Mad Max: Fury Road ,            ","George Miller,Brendan McCarthy,1 more credit",2015
Steve McQueen,,"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender,See full cast & crew","12 Years a Slave ,            ","John Ridley,Solomon Northup",2013
Buster Keaton,,"Buster Keaton,Kathryn McGuire,Joe Keaton,See full cast & crew","Sherlock Jr. ,            ","Jean C. Havez,Joseph A. Mitchell,1 more credit",1924
Denis Villeneuve,,"Hugh Jackman,Jake Gyllenhaal,Viola Davis,See full cast & crew","Prisoners ,            ",Aaron Guzikowski,2013
Frank Capra,,"James Stewart,Jean Arthur,Claude Rains,See full cast & crew","Mr. Smith Goes to Washington ,            ","Sidney Buchman,Lewis R. Foster",1939
"Dean DeBlois,Chris Sanders",,"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,See full cast & crew","How to Train Your Dragon ,            ","William Davies,Dean DeBlois,3 more credits",2010
Steven Spielberg,,"Leonardo DiCaprio,Tom Hanks,Christopher Walken,See full cast & crew","Catch Me If You Can ,            ","Jeff Nathanson,Frank Abagnale Jr.,1 more credit",2002
"Clyde Bruckman,Buster Keaton",,"Buster Keaton,Marion Mack,Glen Cavender,See full cast & crew","The General ,            ","Buster Keaton,Clyde Bruckman,2 more credits",1926
